,maxrating,contribution,friendofcount,upvotes,ac_percentage,hashing,bitmasks,ternary_search,flows,string_suffix_structures,fft,meetinthemiddle,intelligence
70,2096,0,459,0E-9,49.00000000,2,b'\x00',1,0,0,0,2,2.431699687
71,2014,0,30,0E-9,42.55319149,0,b'\x00',0,0,0,0,0,1.380337637
72,2154,4,982,188.000000000,34.00000000,4,b'\x00',0,0,0,0,1,2.209349593
73,2003,0,8,0E-9,57.57575758,6,b'\x00',0,0,6,0,4,1.879181228
74,2446,0,93,0E-9,39.00000000,0,b'\x00',1,0,0,0,0,1.708668454
75,1864,0,107,0E-9,38.00000000,3,b'\x00',0,0,0,0,0,1.551289084
76,2419,84,931,50.714285710,41.00000000,0,b'\x00',0,0,0,0,0,1.470028938
77,1915,0,177,0E-9,46.00000000,3,b'\x00',0,0,0,0,0,1.372966910
78,1879,0,82,0E-9,59.00000000,1,b'\x00',1,0,0,0,0,1.964762413
79,1996,0,40,0E-9,41.00000000,14,b'\x00',0,0,0,0,0,2.489438434
80,1931,0,13,0E-9,49.00000000,0,b'\x00',0,4,0,0,2,1.750388400
81,2097,0,248,0E-9,27.00000000,0,b'\x00',0,0,0,0,0,1.205333333
82,2196,46,769,62.250000000,54.00000000,3,b'\x00',4,0,4,4,0,2.339093881
83,1999,27,142,31.400000000,62.00000000,1,b'\x00',2,0,1,0,1,2.173640167
84,2016,0,10,0E-9,35.00000000,1,b'\x00',5,0,0,0,0,2.103174603
85,2023,0,230,73.000000000,43.00000000,4,b'\x00',2,1,0,2,13,2.878485008
86,1933,0,15,0E-9,41.00000000,1,b'\x00',4,0,0,0,0,2.382172702
87,2103,0,76,0E-9,34.00000000,0,b'\x00',0,0,0,0,2,2.194251734
88,1914,1,86,32.500000000,35.00000000,10,b'\x00',0,2,0,0,0,2.465783664
89,1776,0,47,0E-9,63.00000000,1,b'\x00',0,5,0,0,0,2.013856813
90,1963,0,6,0E-9,45.00000000,3,b'\x00',0,4,7,0,0,2.199161426
91,2054,0,8,0E-9,36.00000000,0,b'\x00',0,0,0,0,0,2.114897760
92,2187,1,319,14.000000000,49.00000000,1,b'\x00',0,2,0,1,0,2.451310861
93,2010,0,131,0E-9,55.00000000,0,b'\x00',0,0,0,0,0,1.507182320
94,1892,2,121,52.000000000,47.00000000,2,b'\x00',0,0,0,0,7,2.833031947
95,1933,0,87,0E-9,40.00000000,3,b'\x00',8,11,5,0,0,3.483394834
96,2330,1,238,51.000000000,51.00000000,1,b'\x00',0,2,0,0,2,1.853922453
97,2109,0,78,21.000000000,17.00000000,0,b'\x00',0,0,0,0,0,1.350403035
98,2228,9,814,28.700000000,41.00000000,7,b'\x00',0,0,1,0,0,2.405417607
99,1864,0,37,0E-9,36.00000000,6,b'\x00',7,0,8,0,0,3.522935780
100,2008,0,132,3.666666667,51.00000000,3,b'\x00',0,0,2,0,0,2.116201117
101,1830,0,0,0E-9,80.00000000,0,b'\x00',0,0,0,0,0,1.934426230
