,Username,Level,Best MMR Rating,Ranking,Avg Seasonal MMR,Wins,Win_p,Kills,KD,Deaths,Headshots,Losses,Time Played,Matches Played,Melee Kills,Blind Kills,Time Played_casual,Losses_casual,Matches_casual,Deaths_casual,Kills_casual,Win_p_casual,KD_casual,Kills/min_casual,Time Played_ranked,Wins_ranked,Losses_ranked,Matches_ranked,Deaths_ranked,Kills_ranked,Win_p_ranked,KD_ranked,Kills/match_ranked,Kills/min_ranked,Smurf
162,reQ_BigVorobey,0.06593406593,0.3630509604,0.6818181818,0.4026867992,0.3581608825,0.2880354505,0.4293317137,0.02051185548,0.4947506375,0.3376134748,0.5325739153,0.5026196298,0.4481284538,0.07233204575,0.3823529412,0.05785123967,0.07746010638,0.0670135018,0.05385424197,0.05474928305,0.569,0.03108108108,0.06631299735,0.527181273,0.4552555233,0.5099329036,0.5059781226,0.4771817571,0.5100185697,51.3,1.2,4.94,0.24,0
163,blind-boomer,0.7106227106,0.3568335739,0.8181818182,0.3143110914,0.3790965456,0.2762186115,0.3222020917,0.01260820474,0.5728144276,0.2440774363,0.5812108025,0.4993014321,0.4814930664,0.01219419829,0.4235294118,0.1290174472,0.1921542553,0.1476526694,0.1361635013,0.07415775905,0.515,0.01675675676,0.03978779841,0.4908106017,0.4466636911,0.5096697803,0.5009539557,0.5158354515,0.3653304245,50.8,0.8,3.57,0.18,0
164,ComPanion._.Ka,0.6794871795,0.3622737871,0.7272727273,0.322748973,0.5365166277,0.2688330871,0.4123363255,0.01486639067,0.6363480961,0.2468773925,0.8393702803,0.695948306,0.6885621937,0.02007119594,0.3,0.5670339761,0.8387632979,0.6378050291,0.4449628705,0.3658932244,0.51,0.02513513514,0.0450928382,0.5180886051,0.4349475563,0.5091435337,0.4940218774,0.4407485319,0.3464230524,50.2,0.88,3.44,0.17,0
165,OlvlStudent,0.09340659341,0.4517597424,0.8181818182,0.3505051627,0.3907722039,0.2924667651,0.4288478959,0.01561911931,0.6305360475,0.4385650224,0.5734033022,0.5050646175,0.4858721718,0.05718397334,0.4941176471,0.1336088154,0.1994680851,0.1451752756,0.1466451994,0.1107152168,0.488,0.02324324324,0.05835543767,0.5020313407,0.4771256416,0.5086172872,0.5178071737,0.578812049,0.488604932,52.5,0.95,4.62,0.24,0
166,TGR6,0.8058608059,0.3930276452,0.8181818182,0.4475408016,0.4985908688,0.341211226,0.6143971836,0.02295822356,0.6373025257,0.5879470633,0.6395750672,0.6049598323,0.5826295485,0.02552450201,0.3764705882,0.3200183655,0.3557180851,0.3385358603,0.3219097062,0.4334752759,0.608,0.04135135135,0.09549071618,0.5295028052,0.497656773,0.5080910407,0.5292546426,0.5040172963,0.572233693,53.6,1.28,5.3,0.27,0
167,Aboude-1,0.02747252747,0.3216387254,0.6818181818,0.3299655823,0.3443111362,0.2850812408,0.3723441489,0.01806548739,0.4824712603,0.3116920048,0.5155510047,0.4593084177,0.4322281305,0.0327198364,0.4941176471,0.04178145087,0.0545212766,0.04248730336,0.04015246106,0.03760030127,0.522,0.02864864865,0.06366047745,0.4913909847,0.4587145726,0.5078279174,0.5069320784,0.4769041984,0.4533873544,51.6,1.07,4.38,0.23,0
168,foJiG.5051,0.6318681319,0.4555345842,0.8636363636,0.5452425891,0.4842579918,0.4194977843,0.5336922507,0.0218291306,0.5838117352,0.5545882096,0.5001919877,0.5583304226,0.5165780419,0.0365068545,0.4176470588,0.01790633609,0.015625,0.02093397746,0.01757902346,0.02450682193,0.722,0.0427027027,0.09549071618,0.6109498936,0.656884624,0.5076963557,0.6198168405,0.5905425541,0.6615112912,60.4,1.26,5.23,0.27,0
169,eXp3rIeNz,0.7289377289,0.3892528034,0.7727272727,0.4343288553,0.3945567276,0.3441654357,0.4057996377,0.01674821227,0.5638399407,0.4147653943,0.501983873,0.5094306671,0.4592326139,0.01393622662,0.3588235294,0.01974288338,0.01396276596,0.02093397746,0.01787474535,0.02250803859,0.751,0.03864864865,0.07957559682,0.5563938866,0.5343673287,0.5095382187,0.5508776393,0.5703099892,0.5023958861,55.3,0.99,4.47,0.22,0
170,Galio.,0.6813186813,0.4136782502,0.8181818182,0.4084600866,0.3614622755,0.2954209749,0.425739109,0.01750094091,0.5649795581,0.3847752379,0.5270702675,0.4771219001,0.4480241893,0.1753389381,0.4294117647,0.05785123967,0.07945478723,0.06156323548,0.06433594007,0.06529358941,0.519,0.03108108108,0.07957559682,0.5020313407,0.4700959607,0.5074332325,0.5132281862,0.5474625296,0.5049021518,52.2,1.04,4.82,0.25,0
171,Mudin-.,0.05494505495,0.411013656,0.8181818182,0.4175641168,0.5598679443,0.3677991137,0.5845548876,0.01731275875,0.7845553355,0.5176200372,0.667093306,0.6694027244,0.6335105828,0.1115655533,0.4235294118,0.5179063361,0.4554521277,0.4843304843,0.5191562069,0.4656006489,0.65,0.02756756757,0.06366047745,0.5235055136,0.4936398125,0.5053282463,0.5256296108,0.573596868,0.5285753243,53.5,1.04,4.93,0.25,0
172,Xyliganka_,0.6135531136,0.4116798046,0.8181818182,0.3793715999,0.6643852162,0.3308714919,0.7068887425,0.01731275875,0.9532756877,0.6287870502,0.8767438884,0.8229130283,0.7865707434,0.0365068545,0.4647058824,1,0.9956781915,0.9022668153,1,1,0.589,0.03054054054,0.06896551724,0.4892629135,0.4403035037,0.5045388765,0.494848639,0.5314663862,0.4424792551,50.7,0.94,4.38,0.22,0
173,vipovPl,0.08058608059,0.3717108915,0.7727272727,0.3441767514,0.4167807392,0.2865583456,0.4318125669,0.01580730147,0.628142851,0.3614131029,0.6199923205,0.5632203982,0.5216869982,0.05824433841,0.3705882353,0.2644628099,0.3287898936,0.2749907098,0.2690740619,0.2256597433,0.555,0.02567567568,0.06100795756,0.5105436255,0.4390760991,0.5040126299,0.4938946833,0.5219271335,0.441946836,50.7,0.95,4.38,0.22,0
174,Focus11rus,0.8388278388,0.3449539247,0.7272727273,0.3670478517,0.3828005475,0.2880354505,0.3986350161,0.01768912307,0.52836935,0.324094936,0.5682836298,0.5319594831,0.478625795,0.03309853821,0.3117647059,0.1404958678,0.1994680851,0.156571287,0.1133600578,0.1101648272,0.525,0.02972972973,0.05570291777,0.5295028052,0.4561481812,0.5030916985,0.5031798525,0.4905922225,0.4532315244,51.7,1.04,4.41,0.21,0
175,SantoPadre.AMEN,0.03296703297,0.3406239591,0.5909090909,0.3015432441,0.3345680006,0.2717872969,0.3389607181,0.01392547986,0.5518454679,0.2623209012,0.5196467426,0.4622773315,0.4275883641,0.06907521018,0.3588235294,0.07162534435,0.07679521277,0.05958132045,0.07856344877,0.06034008285,0.52,0.02351351351,0.05835543767,0.4817179338,0.4367328721,0.5028285752,0.4919867718,0.5302246764,0.400405158,50.6,0.85,3.99,0.21,0
176,xRace.,0.6428571429,0.4388808704,0.8636363636,0.4635283668,0.3334406957,0.2836041359,0.39279832,0.01919458035,0.4836251229,0.3638630646,0.5007039549,0.4593084177,0.4191429465,0.02847837613,0.2117647059,0.02157943067,0.02825797872,0.02415458937,0.02010908852,0.02302946033,0.564,0.03513513514,0.07427055703,0.4989359644,0.449453247,0.5020392054,0.4988552531,0.4859467672,0.4837092732,51.4,1.12,4.75,0.24,0
177,Autumn.RG,0.6666666667,0.4228933052,0.8636363636,0.4425446875,0.4223367421,0.3545051699,0.485073705,0.02333458788,0.4974572287,0.4027343323,0.5219505952,0.5083828152,0.4853508498,0.01582973567,0.3764705882,0.08356290174,0.08311170213,0.1059085842,0.06174015903,0.115292141,0.708,0.0572972973,0.09549071618,0.5260205069,0.5158446775,0.5017760821,0.5365683032,0.4807608029,0.5565597933,54.8,1.3,5.08,0.26,0
178,M.VanRossem,0.4615384615,0.3893638281,0.8181818182,0.4236704785,0.4766084226,0.3456425406,0.449446183,0.01599548363,0.6508639724,0.1963688067,0.6043773199,0.5709046455,0.5540610989,1,0.5529411765,0.2369146006,0.2815824468,0.2552954292,0.2487678255,0.2256887112,0.589,0.02783783784,0.06631299735,0.5281485781,0.5161794242,0.5016445205,0.5366954973,0.5497852573,0.4602049164,54.8,0.94,4.2,0.22,0
179,winq_89-Lexus,0.6703296703,0.2093926946,0.2272727273,0.2663483957,0.2902004992,0.2141802068,0.2561969859,0.01223184042,0.4644653058,0.1944000875,0.5277102265,0.4329374782,0.4021478469,0.007119594032,0.2941176471,0.0564738292,0.08710106383,0.06441223833,0.0494512716,0.03647055416,0.496,0.0227027027,0.0450928382,0.4544399304,0.3739120732,0.5044073148,0.4569447978,0.4525812955,0.3063357877,46.6,0.76,3.29,0.17,0
